booth,shop,region,shop_url,type,name,tags,description,size,volume_text,volume_ml,price_text,price_yen,item_url
1,八ヶ岳ブルワリー タッチダウンビール,北陸・甲信越,https://www.beerkeyaki.jp/shop/archives/78/,set,4種飲み比べセット,,レギュラービール3種類とお好きな限定ビール1種類の組合せ,,,,"1,800円",1800,
1,八ヶ岳ブルワリー タッチダウンビール,北陸・甲信越,https://www.beerkeyaki.jp/shop/archives/78/,beer,ROCKヴァイツェン,おすすめ,,Mサイズ,360ml,360,700円,700,https://www.beerkeyaki.jp/beer/archives/321/
1,八ヶ岳ブルワリー タッチダウンビール,北陸・甲信越,https://www.beerkeyaki.jp/shop/archives/78/,beer,ROCKヴァイツェン,おすすめ,,Lサイズ,720ml,720,"1,300円",1300,https://www.beerkeyaki.jp/beer/archives/321/
1,八ヶ岳ブルワリー タッチダウンビール,北陸・甲信越,https://www.beerkeyaki.jp/shop/archives/78/,beer,ROCKヴァイツェン,おすすめ,,リユースグラス,275ml,275,600円,600,https://www.beerkeyaki.jp/beer/archives/321/
1,八ヶ岳ブルワリー タッチダウンビール,北陸・甲信越,https://www.beerkeyaki.jp/shop/archives/78/,beer,ピルスナー,,,Mサイズ,360ml,360,700円,700,https://www.beerkeyaki.jp/beer/archives/317/
1,八ヶ岳ブルワリー タッチダウンビール,北陸・甲信越,https://www.beerkeyaki.jp/shop/archives/78/,beer,ピルスナー,,,Lサイズ,720ml,720,"1,300円",1300,https://www.beerkeyaki.jp/beer/archives/317/
1,八ヶ岳ブルワリー タッチダウンビール,北陸・甲信越,https://www.beerkeyaki.jp/shop/archives/78/,beer,ピルスナー,,,リユースグラス,275ml,275,600円,600,https://www.beerkeyaki.jp/beer/archives/317/
1,八ヶ岳ブルワリー タッチダウンビール,北陸・甲信越,https://www.beerkeyaki.jp/shop/archives/78/,beer,デュンケル,,,Mサイズ,360ml,360,700円,700,https://www.beerkeyaki.jp/beer/archives/318/
1,八ヶ岳ブルワリー タッチダウンビール,北陸・甲信越,https://www.beerkeyaki.jp/shop/archives/78/,beer,デュンケル,,,Lサイズ,720ml,720,"1,300円",1300,https://www.beerkeyaki.jp/beer/archives/318/
1,八ヶ岳ブルワリー タッチダウンビール,北陸・甲信越,https://www.beerkeyaki.jp/shop/archives/78/,beer,デュンケル,,,リユースグラス,275ml,275,600円,600,https://www.beerkeyaki.jp/beer/archives/318/
1,八ヶ岳ブルワリー タッチダウンビール,北陸・甲信越,https://www.beerkeyaki.jp/shop/archives/78/,beer,清里ラガー,,,Mサイズ,360ml,360,700円,700,https://www.beerkeyaki.jp/beer/archives/319/
1,八ヶ岳ブルワリー タッチダウンビール,北陸・甲信越,https://www.beerkeyaki.jp/shop/archives/78/,beer,清里ラガー,,,Lサイズ,720ml,720,"1,300円",1300,https://www.beerkeyaki.jp/beer/archives/319/
1,八ヶ岳ブルワリー タッチダウンビール,北陸・甲信越,https://www.beerkeyaki.jp/shop/archives/78/,beer,清里ラガー,,,リユースグラス,275ml,275,600円,600,https://www.beerkeyaki.jp/beer/archives/319/
1,八ヶ岳ブルワリー タッチダウンビール,北陸・甲信越,https://www.beerkeyaki.jp/shop/archives/78/,beer,ドライホップドヴァイツェン,限定,,Mサイズ,360ml,360,800円,800,https://www.beerkeyaki.jp/beer/archives/638/
1,八ヶ岳ブルワリー タッチダウンビール,北陸・甲信越,https://www.beerkeyaki.jp/shop/archives/78/,beer,ドライホップドヴァイツェン,限定,,Lサイズ,720ml,720,"1,500円",1500,https://www.beerkeyaki.jp/beer/archives/638/
1,八ヶ岳ブルワリー タッチダウンビール,北陸・甲信越,https://www.beerkeyaki.jp/shop/archives/78/,beer,ドライホップドヴァイツェン,限定,,リユースグラス,275ml,275,700円,700,https://www.beerkeyaki.jp/beer/archives/638/
1,八ヶ岳ブルワリー タッチダウンビール,北陸・甲信越,https://www.beerkeyaki.jp/shop/archives/78/,beer,水出しコーヒーラガー,限定,,Mサイズ,360ml,360,800円,800,https://www.beerkeyaki.jp/beer/archives/639/
1,八ヶ岳ブルワリー タッチダウンビール,北陸・甲信越,https://www.beerkeyaki.jp/shop/archives/78/,beer,水出しコーヒーラガー,限定,,Lサイズ,720ml,720,"1,500円",1500,https://www.beerkeyaki.jp/beer/archives/639/
1,八ヶ岳ブルワリー タッチダウンビール,北陸・甲信越,https://www.beerkeyaki.jp/shop/archives/78/,beer,水出しコーヒーラガー,限定,,リユースグラス,275ml,275,700円,700,https://www.beerkeyaki.jp/beer/archives/639/
